,SAMPLE_ID,Q12,Q18,Q24,Q26_001,Q40_001_UNIT1,Q40_001_UNIT2,Q66
3327,30320106.0,1.0,2.0,22.0,10.0,19.0,2.0,2.0
3328,30320121.0,1.0,10.0,10.0,7.0,6.0,-1.0,2.0
3329,30320136.0,1.0,6.0,6.0,10.0,5.0,10.0,2.0
3330,30320156.0,1.0,9.0,9.0,9.0,-1.0,-1.0,1.0
3331,30320166.0,1.0,99.0,99.0,5.0,4.0,-1.0,6.0
3332,30320181.0,1.0,5.0,5.0,1.0,5.0,-1.0,5.0
3333,30320221.0,1.0,7.0,4.0,8.0,5.0,-1.0,2.0
3334,30320226.0,1.0,18.0,15.0,8.0,2.0,-1.0,2.0
3335,30320241.0,1.0,15.0,15.0,20.0,15.0,-1.0,1.0
3336,30320246.0,1.0,8.0,8.0,7.0,2.0,-1.0,2.0
3337,30320256.0,1.0,5.0,5.0,17.0,2.0,-1.0,2.0
3338,30320261.0,1.0,1.0,1.0,1.0,8.0,-1.0,2.0
3339,30320266.0,1.0,4.0,4.0,10.0,10.0,-1.0,1.0
3340,30320276.0,1.0,6.0,6.0,1.0,5.0,15.0,3.0
3341,30320311.0,1.0,2.0,2.0,2.0,4.0,-1.0,3.0
3342,30320316.0,1.0,20.0,2.0,5.0,99.0,-1.0,3.0
3343,30320381.0,1.0,23.0,23.0,23.0,20.0,-1.0,2.0
3344,30320386.0,1.0,24.0,24.0,24.0,1.0,-1.0,1.0
3345,30320396.0,1.0,5.0,5.0,9.0,2.0,11.0,3.0
3346,30320406.0,1.0,6.0,9.0,15.0,5.0,-1.0,2.0
3347,30320431.0,1.0,13.0,13.0,99.0,3.0,-1.0,2.0
3348,30320441.0,1.0,8.0,8.0,8.0,6.0,-1.0,2.0
3349,30320446.0,1.0,12.0,12.0,12.0,12.0,-1.0,6.0
3350,30320451.0,1.0,5.0,5.0,10.0,10.0,-1.0,2.0
3351,30320461.0,1.0,1.0,1.0,12.0,7.0,-1.0,2.0
3352,30320481.0,1.0,11.0,99.0,11.0,1.0,15.0,2.0
3353,30320486.0,1.0,10.0,10.0,10.0,10.0,-1.0,4.0
3354,30320516.0,1.0,3.0,3.0,3.0,6.0,-1.0,5.0
3355,30320606.0,1.0,12.0,-1.0,10.0,99.0,-1.0,1.0
3356,30320636.0,1.0,9.0,9.0,1.0,15.0,-1.0,2.0
3357,30320641.0,1.0,3.0,3.0,10.0,6.0,-1.0,2.0
3358,30320696.0,1.0,32.0,32.0,10.0,10.0,-1.0,2.0
3359,30320756.0,1.0,4.0,99.0,9.0,9.0,1.0,3.0
3360,30320786.0,1.0,9.0,9.0,25.0,9.0,-1.0,6.0
3361,30320811.0,1.0,1.0,-1.0,99.0,2.0,-1.0,2.0
3362,30320821.0,1.0,5.0,5.0,99.0,1.0,-1.0,2.0
3363,30320871.0,1.0,5.0,5.0,15.0,1.0,-1.0,3.0
